Transaction_ID,Date,Customer_ID,Customer_Age_Group,City,Region,Store_ID,Category,Product_Name,Brand,Quantity,Unit_Price_INR,Discount_Percent,Total_Amount_INR,Payment_Method
TXN000075,16-02-2023,CUST8700,36-45,Lucknow,North,STORE027,Beverages,Green Tea,TopBrand,14,955.83,25,10036.21,Debit Card
TXN000076,06-12-2023,CUST7561,55+,Kolkata,East,STORE003,Dairy & Eggs,Cheddar Cheese,ValueBuy,14,1043.57,10,13148.98,Cash
TXN000077,21-09-2023,CUST1018,55+,Kolkata,East,STORE030,Snacks & Confectionery,Granola Bar,EcoFresh,4,1455.58,20,4657.86,Cash
TXN000078,27-01-2023,CUST4335,36-45,Kolkata,East,STORE036,Meat & Seafood,Crab Meat,HomeChoice,20,1137.1,25,17056.5,Debit Card
TXN000079,30-12-2023,CUST3594,36-45,Mumbai,West,STORE036,Personal Care,Lip Balm,FreshMart,1,1459.99,5,1386.99,Net Banking
TXN000080,28-11-2023,CUST3522,46-55,Bangalore,South,STORE046,Frozen Foods,Ice Cream,PureLife,4,697.56,0,2790.24,Net Banking
TXN000081,16-07-2023,CUST4122,55+,Ahmedabad,West,STORE033,Beverages,Energy Drink,HomeChoice,16,373.16,0,5970.56,Cash
TXN000082,25-05-2023,CUST5891,55+,Kolkata,East,STORE038,Beverages,Energy Drink,ValueBuy,17,408.09,0,6937.53,Credit Card
TXN000083,22-08-2023,CUST6272,26-35,Ahmedabad,West,STORE045,Personal Care,Hand Cream,GreenLeaf,12,505.34,20,4851.26,Net Banking
TXN000084,28-12-2023,CUST7246,46-55,Pune,West,STORE043,Frozen Foods,Fish Fingers,HomeChoice,2,484.08,25,726.12,UPI
TXN000085,14-08-2023,CUST2633,55+,Jaipur,North,STORE030,Fruits & Vegetables,Tomato,FreshMart,19,504.67,0,9588.73,Credit Card
TXN000086,23-06-2023,CUST7512,18-25,Mumbai,West,STORE022,Frozen Foods,Frozen Peas,Premium,16,1174.47,10,16912.37,UPI
TXN000087,20-11-2023,CUST5708,26-35,Jaipur,North,STORE048,Snacks & Confectionery,Peanut Butter Cups,NatureBest,2,930.01,5,1767.02,UPI
TXN000088,24-01-2023,CUST6314,18-25,Ahmedabad,West,STORE019,Dairy & Eggs,Butter,TopBrand,6,1044.06,0,6264.36,Debit Card
TXN000089,29-03-2023,CUST3868,18-25,Bangalore,South,STORE040,Frozen Foods,Frozen Peas,EcoFresh,17,623.96,0,10607.32,Net Banking
TXN000090,24-08-2023,CUST5183,18-25,Lucknow,North,STORE030,Meat & Seafood,Beef Steak,PureLife,5,355.96,10,1601.82,Net Banking
TXN000091,24-11-2023,CUST7951,36-45,Ahmedabad,West,STORE030,Bakery,Brown Bread,PureLife,12,1481.6,10,16001.28,Credit Card
TXN000092,22-10-2023,CUST5847,36-45,Mumbai,West,STORE002,Frozen Foods,Waffles,EcoFresh,8,578.23,15,3931.96,Debit Card
TXN000093,28-04-2023,CUST6772,26-35,Hyderabad,South,STORE041,Fruits & Vegetables,Broccoli,GreenLeaf,20,1120.31,10,20165.58,Net Banking
TXN000094,18-01-2023,CUST6977,26-35,Mumbai,West,STORE006,Beverages,Green Tea,PureLife,2,470.31,25,705.46,Debit Card
TXN000095,29-09-2023,CUST9221,36-45,Bangalore,South,STORE011,Frozen Foods,Frozen Peas,PureLife,5,1181.9,15,5023.08,UPI
TXN000096,26-04-2023,CUST7511,55+,Mumbai,West,STORE024,Beverages,Mango Juice,NatureBest,15,1444.71,0,21670.65,UPI
TXN000097,27-10-2023,CUST7242,36-45,Jaipur,North,STORE007,Fruits & Vegetables,Spinach,GreenLeaf,4,687.63,10,2475.47,UPI
TXN000098,28-11-2023,CUST2035,46-55,Jaipur,North,STORE045,Fruits & Vegetables,Broccoli,PureLife,11,1373.73,5,14355.48,UPI
TXN000099,01-03-2023,CUST2592,26-35,Hyderabad,South,STORE035,Dairy & Eggs,Cheddar Cheese,HomeChoice,2,463.5,25,695.25,UPI
TXN000100,01-08-2023,CUST2622,46-55,Jaipur,North,STORE040,Personal Care,Deodorant,EcoFresh,14,885.14,0,12391.96,Debit Card
TXN000101,05-07-2023,CUST2627,36-45,Bangalore,South,STORE035,Fruits & Vegetables,Carrot,TopBrand,15,672.6,5,9584.55,Cash
TXN000102,16-02-2023,CUST4475,55+,Bangalore,South,STORE002,Frozen Foods,Frozen Corn,FreshMart,4,1424.03,25,4272.09,Debit Card
TXN000103,28-10-2023,CUST4538,26-35,Lucknow,North,STORE022,Meat & Seafood,Mutton Chops,HomeChoice,7,112.23,5,746.33,Net Banking
TXN000104,26-02-2023,CUST1422,26-35,Delhi,North,STORE001,Fruits & Vegetables,Spinach,TopBrand,5,814.92,0,4074.6,Credit Card
TXN000105,04-08-2023,CUST9619,18-25,Hyderabad,South,STORE048,Grains & Pulses,Semolina,NatureBest,6,405.4,0,2432.4,UPI
TXN000106,11-11-2023,CUST1710,55+,Jaipur,North,STORE020,Personal Care,Deodorant,ValueBuy,19,172.49,5,3113.44,Cash
TXN000107,31-12-2023,CUST8267,18-25,Pune,West,STORE006,Fruits & Vegetables,Grapes,TopBrand,14,1032.29,25,10839.05,Net Banking
TXN000108,15-07-2023,CUST9692,36-45,Delhi,North,STORE030,Bakery,Brown Bread,Premium,9,940.23,15,7192.76,Net Banking
TXN000109,09-08-2023,CUST8398,26-35,Mumbai,West,STORE027,Frozen Foods,Ice Cream,TopBrand,18,1084.05,5,18537.26,UPI
TXN000110,11-07-2023,CUST3500,46-55,Mumbai,West,STORE005,Frozen Foods,Frozen Fries,NatureBest,11,645.88,10,6394.21,Cash
TXN000111,28-10-2023,CUST6400,18-25,Mumbai,West,STORE027,Dairy & Eggs,Cream,TopBrand,12,1219.54,0,14634.48,UPI
TXN000112,21-03-2023,CUST8900,26-35,Lucknow,North,STORE007,Fruits & Vegetables,Spinach,TopBrand,10,533.95,5,5072.52,Net Banking
TXN000113,15-10-2023,CUST1430,55+,Chennai,South,STORE043,Snacks & Confectionery,Chocolate Bar,PureLife,19,346.98,20,5274.1,Cash
TXN000114,15-03-2023,CUST7566,18-25,Chennai,South,STORE010,Bakery,Baguette,FreshMart,11,533.02,0,5863.22,Cash
TXN000115,09-07-2023,CUST6105,36-45,Pune,West,STORE050,Cleaning Supplies,Glass Cleaner,Local,14,685.93,0,9603.02,Net Banking
TXN000116,12-12-2023,CUST2336,36-45,Delhi,North,STORE029,Dairy & Eggs,Milk,EcoFresh,6,1134.11,0,6804.66,UPI
TXN000117,26-06-2023,CUST8043,18-25,Pune,West,STORE019,Grains & Pulses,Black Beans,Local,9,331.2,0,2980.8,UPI
TXN000118,04-01-2023,CUST4349,36-45,Hyderabad,South,STORE014,Cleaning Supplies,Toilet Cleaner,HomeChoice,8,598.94,0,4791.52,Debit Card
TXN000119,31-03-2023,CUST3116,46-55,Mumbai,West,STORE035,Beverages,Mango Juice,GreenLeaf,1,751.1,20,600.88,Net Banking
TXN000120,12-08-2023,CUST1307,46-55,Mumbai,West,STORE005,Cleaning Supplies,Sponge Pack,TopBrand,13,1294.03,0,16822.39,Net Banking
TXN000121,11-01-2023,CUST6321,26-35,Pune,West,STORE040,Frozen Foods,Frozen Berries,ValueBuy,14,441.38,20,4943.46,Debit Card
TXN000122,26-09-2023,CUST2288,46-55,Mumbai,West,STORE020,Dairy & Eggs,Cream,TopBrand,8,659.16,20,4218.62,Credit Card
TXN000123,28-06-2023,CUST6752,26-35,Mumbai,West,STORE016,Snacks & Confectionery,Popcorn,NatureBest,17,953.5,5,15399.02,Credit Card
TXN000124,01-04-2023,CUST9095,46-55,Delhi,North,STORE049,Beverages,Coffee Powder,Local,20,237.78,0,4755.6,Net Banking
TXN000125,19-03-2023,CUST8205,18-25,Lucknow,North,STORE031,Personal Care,Razor,ValueBuy,11,1297.73,15,12133.78,Debit Card
TXN000126,25-08-2023,CUST8404,18-25,Hyderabad,South,STORE004,Beverages,Herbal Tea,TopBrand,12,765.93,10,8272.04,Debit Card
TXN000127,25-10-2023,CUST1672,46-55,Lucknow,North,STORE037,Dairy & Eggs,Butter,GreenLeaf,20,765.53,25,11482.95,Debit Card
TXN000128,22-02-2023,CUST6626,18-25,Jaipur,North,STORE033,Grains & Pulses,Black Beans,HomeChoice,5,1437.01,25,5388.79,Cash
TXN000129,06-07-2023,CUST7108,36-45,Ahmedabad,West,STORE025,Meat & Seafood,Beef Steak,EcoFresh,17,788.89,0,13411.13,Debit Card
TXN000130,26-05-2023,CUST5128,55+,Kolkata,East,STORE010,Grains & Pulses,Basmati Rice,TopBrand,3,501.24,20,1202.98,Cash
TXN000131,08-03-2023,CUST2388,36-45,Kolkata,East,STORE036,Grains & Pulses,Red Lentils,EcoFresh,10,1451.87,20,11614.96,Debit Card
TXN000132,05-07-2023,CUST6060,26-35,Mumbai,West,STORE014,Bakery,Bagel,TopBrand,14,767.65,0,10747.1,UPI
TXN000133,17-09-2023,CUST9843,55+,Delhi,North,STORE003,Meat & Seafood,Prawns,TopBrand,5,124.98,0,624.9,Net Banking
TXN000134,13-08-2023,CUST1715,46-55,Pune,West,STORE024,Bakery,Pita Bread,GreenLeaf,5,251.75,0,1258.75,UPI
TXN000135,29-08-2023,CUST4178,36-45,Ahmedabad,West,STORE044,Grains & Pulses,Oats,Local,8,805.68,10,5800.9,UPI
TXN000136,13-04-2023,CUST3267,36-45,Pune,West,STORE004,Personal Care,Face Wash,ValueBuy,17,795.92,0,13530.64,Debit Card
TXN000137,20-05-2023,CUST8361,55+,Jaipur,North,STORE010,Cleaning Supplies,Floor Cleaner,EcoFresh,4,434.74,0,1738.96,Cash
TXN000138,15-09-2023,CUST7126,26-35,Kolkata,East,STORE025,Meat & Seafood,Beef Steak,NatureBest,1,628.2,20,502.56,Debit Card
TXN000139,16-03-2023,CUST3254,18-25,Kolkata,East,STORE019,Meat & Seafood,Chicken Breast,ValueBuy,4,1260.37,15,4285.26,Credit Card
TXN000140,12-05-2023,CUST4533,26-35,Lucknow,North,STORE036,Personal Care,Lip Balm,Local,1,1359.73,0,1359.73,Net Banking
TXN000141,03-05-2023,CUST7878,55+,Chennai,South,STORE030,Frozen Foods,Ice Cream,NatureBest,8,458.72,0,3669.76,Cash
TXN000142,15-03-2023,CUST5772,46-55,Jaipur,North,STORE001,Personal Care,Razor,Local,1,951.61,5,904.03,Debit Card
TXN000143,26-09-2023,CUST6908,18-25,Pune,West,STORE034,Meat & Seafood,Sardines,Premium,6,999.91,0,5999.46,Net Banking
TXN000144,22-11-2023,CUST7338,36-45,Hyderabad,South,STORE017,Cleaning Supplies,Disinfectant Spray,FreshMart,13,1311.26,0,17046.38,Debit Card
TXN000145,10-03-2023,CUST1726,36-45,Bangalore,South,STORE035,Dairy & Eggs,Eggs,TopBrand,4,1159.54,15,3942.44,Credit Card
TXN000146,19-01-2023,CUST5807,26-35,Delhi,North,STORE003,Personal Care,Lip Balm,GreenLeaf,5,104.02,25,390.07,Cash
TXN000147,10-05-2023,CUST1599,26-35,Jaipur,North,STORE019,Snacks & Confectionery,Granola Bar,TopBrand,13,1483.79,25,14466.95,Cash
TXN000148,14-08-2023,CUST7334,36-45,Mumbai,West,STORE012,Snacks & Confectionery,Granola Bar,ValueBuy,12,661.06,20,6346.18,UPI
TXN000149,09-08-2023,CUST3956,55+,Chennai,South,STORE019,Snacks & Confectionery,Pretzels,TopBrand,3,1093.35,0,3280.05,Cash
TXN000150,27-03-2023,CUST8272,36-45,Chennai,South,STORE029,Dairy & Eggs,Eggs,FreshMart,10,674.41,20,5395.28,Debit Card
TXN000151,06-07-2023,CUST9406,26-35,Chennai,South,STORE002,Grains & Pulses,Quinoa,HomeChoice,2,121.81,20,194.9,Net Banking
TXN000152,05-07-2023,CUST7272,55+,Delhi,North,STORE003,Personal Care,Shampoo,Local,3,361.63,15,922.16,Credit Card
TXN000153,29-09-2023,CUST7012,46-55,Kolkata,East,STORE021,Personal Care,Deodorant,PureLife,15,1147,0,17205,Credit Card
TXN000154,15-05-2023,CUST5264,46-55,Delhi,North,STORE014,Dairy & Eggs,Milk,Local,16,781.44,0,12503.04,Debit Card
TXN000155,30-03-2023,CUST8292,18-25,Mumbai,West,STORE044,Personal Care,Body Lotion,TopBrand,5,1280.71,25,4802.66,Debit Card
TXN000156,31-12-2023,CUST3852,36-45,Jaipur,North,STORE033,Dairy & Eggs,Buttermilk,GreenLeaf,10,1338.08,0,13380.8,Cash
TXN000157,28-08-2023,CUST3126,55+,Bangalore,South,STORE006,Meat & Seafood,Mutton Chops,NatureBest,16,49.16,15,668.58,Debit Card
TXN000158,06-03-2023,CUST6194,18-25,Jaipur,North,STORE029,Frozen Foods,Waffles,ValueBuy,14,1156.06,0,16184.84,Net Banking
TXN000159,10-08-2023,CUST9238,18-25,Jaipur,North,STORE008,Snacks & Confectionery,Popcorn,Premium,19,281.13,0,5341.47,Credit Card
TXN000160,27-06-2023,CUST9501,36-45,Delhi,North,STORE006,Beverages,Green Tea,PureLife,11,1402.76,5,14658.84,Credit Card
TXN000161,15-09-2023,CUST3762,55+,Delhi,North,STORE038,Cleaning Supplies,Toilet Cleaner,HomeChoice,10,925.5,0,9255,Credit Card
TXN000162,11-02-2023,CUST1744,55+,Kolkata,East,STORE017,Grains & Pulses,Corn Flour,GreenLeaf,19,71.38,0,1356.22,Net Banking
TXN000163,25-11-2023,CUST5949,46-55,Hyderabad,South,STORE016,Frozen Foods,Frozen Berries,EcoFresh,16,1334.61,10,19218.38,Debit Card
TXN000164,26-08-2023,CUST4342,36-45,Hyderabad,South,STORE039,Personal Care,Conditioner,HomeChoice,6,665.01,25,2992.55,Debit Card
TXN000165,13-06-2023,CUST4960,46-55,Pune,West,STORE008,Snacks & Confectionery,Gummy Bears,PureLife,5,1143.39,0,5716.95,UPI
TXN000166,12-11-2023,CUST7850,26-35,Mumbai,West,STORE011,Meat & Seafood,Mutton Chops,TopBrand,2,442.42,20,707.87,Net Banking
TXN000167,13-09-2023,CUST6055,46-55,Delhi,North,STORE002,Snacks & Confectionery,Trail Mix,NatureBest,16,1493.99,25,17927.88,UPI
TXN000168,26-01-2023,CUST5609,46-55,Bangalore,South,STORE039,Cleaning Supplies,Fabric Softener,ValueBuy,7,879.18,0,6154.26,Debit Card
TXN000169,07-07-2023,CUST7606,36-45,Mumbai,West,STORE003,Cleaning Supplies,Dish Soap,EcoFresh,14,209.56,10,2640.46,Cash
TXN000170,17-07-2023,CUST9261,46-55,Bangalore,South,STORE049,Grains & Pulses,Soya Chunks,Premium,12,834.3,0,10011.6,Debit Card
TXN000171,11-07-2023,CUST6555,55+,Mumbai,West,STORE024,Grains & Pulses,Corn Flour,HomeChoice,5,1462.87,20,5851.48,Credit Card
TXN000172,12-03-2023,CUST6456,46-55,Pune,West,STORE034,Grains & Pulses,Soya Chunks,ValueBuy,17,69.98,0,1189.66,Credit Card
TXN000173,25-03-2023,CUST7438,55+,Delhi,North,STORE048,Grains & Pulses,Soya Chunks,PureLife,11,1397.74,15,13068.87,Net Banking
TXN000174,01-09-2023,CUST1272,36-45,Jaipur,North,STORE022,Snacks & Confectionery,Pretzels,NatureBest,18,739.87,10,11985.89,UPI
TXN000175,27-01-2023,CUST8871,26-35,Hyderabad,South,STORE034,Grains & Pulses,Oats,Local,20,717.14,5,13625.66,UPI
TXN000176,08-04-2023,CUST1310,46-55,Hyderabad,South,STORE021,Bakery,Muffin,EcoFresh,19,1422.83,0,27033.77,Credit Card
TXN000177,01-02-2023,CUST3262,55+,Pune,West,STORE014,Frozen Foods,Fish Fingers,Premium,17,1164.71,25,14850.05,Debit Card
TXN000178,30-09-2023,CUST6608,55+,Pune,West,STORE023,Personal Care,Hand Cream,PureLife,11,1435.46,25,11842.54,Net Banking
TXN000179,02-06-2023,CUST5735,26-35,Bangalore,South,STORE045,Personal Care,Body Lotion,ValueBuy,9,841.55,5,7195.25,Debit Card
TXN000180,22-07-2023,CUST6654,26-35,Jaipur,North,STORE019,Personal Care,Deodorant,FreshMart,9,438.81,20,3159.43,Debit Card
TXN000181,14-04-2023,CUST9824,36-45,Ahmedabad,West,STORE036,Dairy & Eggs,Eggs,PureLife,9,1123.53,5,9606.18,Credit Card
TXN000182,23-11-2023,CUST4814,18-25,Lucknow,North,STORE007,Dairy & Eggs,Mozzarella,EcoFresh,8,371.26,5,2821.58,Debit Card
TXN000183,28-07-2023,CUST8793,46-55,Delhi,North,STORE042,Personal Care,Conditioner,GreenLeaf,1,1447.13,0,1447.13,Debit Card
